TotalPop,UninsuredPop,MedHouseInc,GEOID
3758,78,61801,06073010104
5815,240,45417,06073010106
4485,247,61131,06073010300
6131,236,47054,06073010402
6440,197,199613,06073008328
5271,321,144327,06073008330
4910,126,150597,06073008346
3687,100,92526,06073008352
4157,131,93500,06073009103
9191,338,76026,06073009304
4171,139,36792,06073004800
1811,323,51250,06073006600
3114,73,150673,06073007002
3319,115,62300,06073007502
4216,286,91340,06073009502
3192,145,73770,06073008701
3194,62,107366,06073009104
3045,50,50156,06073020903
2706,65,45952,06073021000
6200,227,73232,06053013800
3539,153,124500,06053010102
4555,132,105063,06053010305
12388,638,73873,06053011102
7263,327,63827,06053011202
2755,37,88370,06053012200
1525,50,95000,06053013400
5029,281,70651,06053013500
4799,222,81321,06053010605
5924,515,50052,06053011101
2072,74,81042,06053012302
3472,58,76750,06053012700
2362,21,60500,06053013900
4471,235,73032,06053014302
2427,164,52218,06053014000
3963,148,55208,06053001700
5802,440,52188,06053000800
3506,114,112702,06075015600
4167,93,151453,06075010200
5038,142,108879,06075010800
3895,67,120508,06075033100
5600,232,107475,06075040200
4664,209,79385,06073003001
3136,68,69074,06097152100
4115,144,108947,06097152300
8367,174,130845,06097152400
8131,245,119722,06097152600
5976,290,81189,06097153102
3936,59,69081,06097153705
4440,111,64746,06097153706
3848,89,80341,06097154302
4617,291,76250,06097153902
4493,95,81827,06097150303
5610,188,105253,06097150304
4413,182,90114,06097150601
4460,226,82931,06097151203
8050,279,71539,06097151401
5053,258,64772,06097150901
7069,192,72985,06097151201
5119,214,65119,06097151308
5737,155,108370,06097151309
3782,130,58125,06097152502
4927,99,94280,06097150202
3600,46,86143,06037700901
1101,15,45536,06037701100
2691,103,53889,06037195802
3900,143,40071,06037191120
4646,177,42538,06037191410
4451,95,98461,06037195400
5332,204,54759,06037197700
5391,224,57625,06037199000
4202,16,81172,06037199300
3063,77,42614,06037199700
4995,200,55352,06037201402
3353,130,57054,06037203900
3394,34,83899,06037603200
2057,31,71071,06037609900
4502,229,199408,06037620303
6198,327,77917,06037552800
3214,71,49950,06037553300
4699,262,48333,06037553601
2314,25,143889,06037403407
5011,34,61625,06037122120
4027,183,36518,06037123010
4657,163,104392,06037128910
4183,283,37606,06037134305
5836,229,46050,06037134710
4708,184,116321,06037135202
4449,204,145286,06037137302
4126,67,153523,06037139802
6037,164,92769,06037141302
